source,target,type
4d7a7eee-5da7-4d4e-9dc2-d8dca18da46b,2470246f-d1e8-4e33-b687-8ef2385bf1e8,ENEMY
263a1e51-326b-45f7-91b4-298acbaa6291,2470246f-d1e8-4e33-b687-8ef2385bf1e8,ALLY
1f9fc7ec-5861-4133-bc65-8ae5f73542c2,a4532c76-9c68-412e-a31c-6d51483354be,ALLY
e8a83f57-6717-403f-84e9-56ecded817c7,05856574-6524-4d1a-b293-77288599c5a1,ALLY
5adb38ae-41fc-420a-b555-f446669401c8,83dae6e1-bda9-4d45-8b37-44997da2ac85,ALLY
5adb38ae-41fc-420a-b555-f446669401c8,7b8635c0-9a4a-4a10-a66d-43c79b4e505b,ALLY
bcb5832b-d2f2-4ef3-9f64-11f99a13bde9,b9b4c676-7fb8-4d55-91b1-718a4194a84e,ALLY
c6c96262-9695-4e29-9e39-8870b5c6d373,fddeeb10-d478-47df-bc7b-c79391bea465,ENEMY
7612cca2-e740-4606-a823-a6ae7a699e22,9b227e05-a8f2-4d0b-b72b-0a40ce391069,ENEMY
7612cca2-e740-4606-a823-a6ae7a699e22,b63127b7-e9e7-4eea-8f11-98b5004b44ba,RELATIVE
7612cca2-e740-4606-a823-a6ae7a699e22,b63127b7-e9e7-4eea-8f11-98b5004b44ba,ENEMY
a0187414-b115-4109-a5d3-5988ea97e340,4b512bbc-6578-4475-9c6d-3a4eea71743e,ENEMY
8a0544d0-b263-4db9-9662-9d9da38afde0,723279c3-17c9-401f-b0af-32895bbe88e1,ENEMY
23df9564-6955-40cb-8779-a7ab01853ae2,7e52ad8f-2603-4935-90c9-8bf6d0012080,ENEMY
51b6a301-e57c-48fb-950b-f37e3f19ecda,de30e2d1-2954-4dd9-9147-f45da5d9a302,ENEMY
85d16e88-7f39-4b9d-8b25-2ae2990a60fe,f76eecdf-7e8e-45de-bb95-f15e60341e89,ENEMY
51db3028-6637-42ec-bf24-f249b12a2b40,8299a75b-d15a-4a38-9fe2-6df3c734f2d2,ENEMY
1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,8299a75b-d15a-4a38-9fe2-6df3c734f2d2,ENEMY
c485aa0d-c65f-41b3-a4d2-1af3ed217e22,8299a75b-d15a-4a38-9fe2-6df3c734f2d2,ENEMY
37c44eeb-b928-48aa-8453-8fba30c4248d,71efaf7e-4232-44dc-a954-d4d54b060f97,ENEMY
b1fa175b-5425-4b12-9a39-e6adff1fd0a9,2d2551b6-51f9-4908-8ff6-b7591796ea34,ENEMY
5adb38ae-41fc-420a-b555-f446669401c8,77c92fef-710b-42f7-8156-21cded5f451d,ENEMY
c1897cfa-41de-4a88-be0c-a5ba965bf839,77c92fef-710b-42f7-8156-21cded5f451d,ENEMY
c1897cfa-41de-4a88-be0c-a5ba965bf839,521045f6-8e86-4bf9-b063-560cb7f95abb,ENEMY
318b6946-121a-4329-988b-18ef416240cd,69fab315-e241-4d1f-8c34-1a1cc8b10561,ENEMY
318b6946-121a-4329-988b-18ef416240cd,3821e139-c631-4340-84ec-bda25aa1a56a,ENEMY
318b6946-121a-4329-988b-18ef416240cd,10eb7192-b4c4-4828-a550-651095f98d0f,ENEMY
1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,baa15650-c9fd-4b96-9409-30f627697aa2,ENEMY
1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,9fe3acd9-6e09-4ca6-8428-b1d5af4f6e3e,ENEMY
246ee50b-2b04-48c4-87f4-9e6f24c0c389,9fe3acd9-6e09-4ca6-8428-b1d5af4f6e3e,ENEMY
1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,8cea3786-3b1f-4e4c-9639-17b8eb8e4d1a,ENEMY
7fda53b6-048b-4712-b7e7-823dc41867a6,d37d9fd1-f151-491d-a6fd-9d30c3177649,ENEMY
1f9fc7ec-5861-4133-bc65-8ae5f73542c2,d37d9fd1-f151-491d-a6fd-9d30c3177649,ENEMY
9511b338-9f11-4c78-99b2-ea49a41b15a6,961e8186-5ba4-44d4-9782-d3663cb2b3b4,ENEMY
f28d4a08-d9a0-4f6c-91c7-cc4acc346cd4,faccaecc-0bd0-4fd7-bf71-cbbfe1abc06e,ENEMY
36d64e25-fb8b-4307-94c2-7f44b27a24e2,9bde2c4f-5d6c-4458-a654-c93bbdb03580,ENEMY
5e208f97-0faf-4965-9ff0-a301a492473e,ddc88ecc-634d-46ba-8bb9-ff894ee8b139,ENEMY
6d30c907-82c7-45a7-a56b-4f091f6aa7e9,340753b7-e1c5-49a5-b6fb-65dc190a7505,ENEMY
4d7a7eee-5da7-4d4e-9dc2-d8dca18da46b,e3de2da4-770e-4d3a-bec8-0d1065c697e4,ENEMY
4d7a7eee-5da7-4d4e-9dc2-d8dca18da46b,db7276b5-35cc-40dc-9e16-a976a61e7737,ENEMY
4d7a7eee-5da7-4d4e-9dc2-d8dca18da46b,8e5fc2ca-c187-4d2d-8819-e2ec5fd2e46a,ENEMY
4d7a7eee-5da7-4d4e-9dc2-d8dca18da46b,726a2f5b-a66e-414d-88d9-7905b5a0bbc6,ENEMY
4d7a7eee-5da7-4d4e-9dc2-d8dca18da46b,30b183d4-f572-4f0f-ac67-e09f939a9481,ENEMY
263a1e51-326b-45f7-91b4-298acbaa6291,9590d8d4-569c-442e-a97f-fb0ef2deab92,ENEMY
263a1e51-326b-45f7-91b4-298acbaa6291,36fc168a-b634-43cf-9d21-83e7c6d583d8,ENEMY
263a1e51-326b-45f7-91b4-298acbaa6291,6be2c590-0285-4c89-8987-7ec2b9110bff,ENEMY
263a1e51-326b-45f7-91b4-298acbaa6291,8f7da653-936f-44e3-a783-5ba316c10a95,ENEMY
1f9fc7ec-5861-4133-bc65-8ae5f73542c2,eab7d5b9-6dbb-4394-8213-4c37b9c26951,ENEMY
ac75b839-5c59-47f5-a75d-313b87c61925,a50156a9-d9a3-40d4-b02e-fb74c3fd5c4e,ENEMY
ac75b839-5c59-47f5-a75d-313b87c61925,15d84ae4-6d24-4a80-92ed-d0a5d40b9555,ENEMY
d96be67a-a455-45c1-bc44-d99af20b8629,15637196-8e81-4a2c-8797-e867090440fc,ENEMY
cbe82e9f-ab46-4351-b3ed-b83bb9474c45,96ade6c7-c17c-429e-af1e-ed149d848475,ENEMY
cbe82e9f-ab46-4351-b3ed-b83bb9474c45,9ad35950-857a-4886-9043-8a27448fbd67,ENEMY
cbe82e9f-ab46-4351-b3ed-b83bb9474c45,baf5f71c-a729-4121-93a6-da63ceedbd1f,ENEMY
cbe82e9f-ab46-4351-b3ed-b83bb9474c45,b8df3050-dda4-4c4a-bec2-4ba4f95038e3,ENEMY
cbe82e9f-ab46-4351-b3ed-b83bb9474c45,acb5756f-1c74-405e-87b3-95132f0542b5,ENEMY
c4fb1921-fe8a-41dc-864b-b81f5b28e25b,05126f67-2b3e-4c80-bbc0-e950bb4a7e92,RELATIVE
43ebaa36-b8bf-4f84-9e37-c42377489522,7b6051ad-f658-4887-af60-aeee6b522053,RELATIVE
02d3876c-8ba0-4a7e-b749-be5fa1897169,55b42a6c-33ca-448e-b647-a7ccc7756a76,RELATIVE
cef01eb5-7abd-4301-9377-57dbf508700c,55b42a6c-33ca-448e-b647-a7ccc7756a76,RELATIVE
5adb38ae-41fc-420a-b555-f446669401c8,7cdea64e-634d-4374-9440-fcd518f23b9d,RELATIVE
50a78f57-d806-4479-9871-d616cf1a5f3d,7cdea64e-634d-4374-9440-fcd518f23b9d,RELATIVE
c1897cfa-41de-4a88-be0c-a5ba965bf839,7cdea64e-634d-4374-9440-fcd518f23b9d,RELATIVE
e8a83f57-6717-403f-84e9-56ecded817c7,b660a646-9564-4dfc-b865-75ab95e226a8,RELATIVE
0d4673bd-843e-4ef6-91c3-6e46c8b506df,b660a646-9564-4dfc-b865-75ab95e226a8,RELATIVE
e8a83f57-6717-403f-84e9-56ecded817c7,a743240b-4e46-4484-9e50-fdca0ae5f991,RELATIVE
0d4673bd-843e-4ef6-91c3-6e46c8b506df,a743240b-4e46-4484-9e50-fdca0ae5f991,RELATIVE
e8a83f57-6717-403f-84e9-56ecded817c7,3f20996a-97d6-4ac1-9cd7-d365904125c3,RELATIVE
0d4673bd-843e-4ef6-91c3-6e46c8b506df,3f20996a-97d6-4ac1-9cd7-d365904125c3,RELATIVE
e8a83f57-6717-403f-84e9-56ecded817c7,00cd92e4-49a5-4b64-914a-fe30027946c0,RELATIVE
0d4673bd-843e-4ef6-91c3-6e46c8b506df,00cd92e4-49a5-4b64-914a-fe30027946c0,RELATIVE
0d4673bd-843e-4ef6-91c3-6e46c8b506df,d0059157-558c-4a37-a7f7-b7eedf8444ac,RELATIVE
e8a83f57-6717-403f-84e9-56ecded817c7,d0059157-558c-4a37-a7f7-b7eedf8444ac,RELATIVE
e8a83f57-6717-403f-84e9-56ecded817c7,1fc10cc2-8cf4-4c61-a6f2-f3417fcc398d,RELATIVE
0d4673bd-843e-4ef6-91c3-6e46c8b506df,1fc10cc2-8cf4-4c61-a6f2-f3417fcc398d,RELATIVE
1f9fc7ec-5861-4133-bc65-8ae5f73542c2,23a09ad8-fc74-4ad8-b1c0-1ddd108be55d,RELATIVE
281befb6-2fc6-4664-8af7-426fe519bf14,23a09ad8-fc74-4ad8-b1c0-1ddd108be55d,RELATIVE
1f9fc7ec-5861-4133-bc65-8ae5f73542c2,9e69139c-1936-40cc-99e0-71ffb244f7b0,RELATIVE
281befb6-2fc6-4664-8af7-426fe519bf14,9e69139c-1936-40cc-99e0-71ffb244f7b0,RELATIVE
1f9fc7ec-5861-4133-bc65-8ae5f73542c2,95382a5e-7dd9-4484-b2a0-7fe35530850a,RELATIVE
281befb6-2fc6-4664-8af7-426fe519bf14,95382a5e-7dd9-4484-b2a0-7fe35530850a,RELATIVE
1f9fc7ec-5861-4133-bc65-8ae5f73542c2,b4b23bd4-85d0-46d4-b739-9faa7f181f27,RELATIVE
281befb6-2fc6-4664-8af7-426fe519bf14,b4b23bd4-85d0-46d4-b739-9faa7f181f27,RELATIVE
1f9fc7ec-5861-4133-bc65-8ae5f73542c2,c04538cb-d2f7-4c80-b38c-e8e84acbecc0,RELATIVE
281befb6-2fc6-4664-8af7-426fe519bf14,c04538cb-d2f7-4c80-b38c-e8e84acbecc0,RELATIVE
7fda53b6-048b-4712-b7e7-823dc41867a6,3e482d2a-927b-403c-b7b1-b6cad7190ca8,RELATIVE
7fda53b6-048b-4712-b7e7-823dc41867a6,8b38f9eb-b62d-41af-9a44-fa81bf206cd6,RELATIVE
db45aa16-0da8-4c30-a6d6-d2ffe8f8719c,8c3b93f4-e136-4071-a276-86acb01e2e9a,RELATIVE
db45aa16-0da8-4c30-a6d6-d2ffe8f8719c,a56a8b1f-97f7-48d7-a25f-f8f0fd198b68,RELATIVE
6d30c907-82c7-45a7-a56b-4f091f6aa7e9,c0f87d93-173b-47ba-8677-1bf927efaeb0,RELATIVE
5c0891e5-c8e2-4a20-90c5-f21ace376001,8cd7015a-61f2-4947-8992-596ab6649b18,RELATIVE
